City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,0,PF,1644432157,67,-23.1203,-134.9692,78.78,16.49
Katangli,100,RU,1644432359,93,51.7102,143.2326,12.31,11.05
Balkanabat,0,TM,1644432360,29,39.5108,54.3671,54.36,7.81
Ushuaia,40,AR,1644432105,41,-54.8,-68.3,58.62,14.97
Pevek,100,RU,1644432361,99,69.7008,170.3133,-31.9,5.5
Chokurdakh,71,RU,1644432361,99,70.6333,147.9167,-37.16,9.06
Conakry,4,GN,1644432261,58,9.538,-13.6773,86.07,6.91
Bluff,73,NZ,1644432362,96,-46.6,168.3333,59.81,6.55
Puerto Ayora,70,EC,1644432362,72,-0.7393,-90.3518,80.56,9.86
Kaitangata,100,NZ,1644432362,99,-46.2817,169.8464,58.62,7.96
Abhā,0,SA,1644432362,77,18.2164,42.5053,58.82,5.75
New Norfolk,98,AU,1644432363,65,-42.7826,147.0587,62.1,1.01
Port Alfred,1,ZA,1644432363,84,-33.5906,26.891,68.41,7.58
Kudahuvadhoo,100,MV,1644432363,70,2.6708,72.8944,81.79,10.58
Hilo,100,US,1644432364,92,19.7297,-155.09,73.26,8.05
Los Algarrobos,40,PA,1644432364,48,8.5,-82.4333,88.21,6.91
Lakes Entrance,14,AU,1644432364,92,-37.8811,147.981,62.17,5.5
Kapaa,40,US,1644432364,80,22.0752,-159.319,74.19,11.5
Diego de Almagro,0,CL,1644432365,21,-26.3667,-70.05,81.7,15.43
Qaanaaq,99,GL,1644432365,78,77.484,-69.3632,-20.99,4.52
Sakakah,80,SA,1644432365,33,29.9697,40.2064,69.37,10.96
Barrow,0,US,1644432365,62,71.2906,-156.7887,-23.78,14.97
Iqaluit,20,CA,1644432366,62,63.7506,-68.5145,-16.31,12.66
Punta Arenas,37,CL,1644432366,37,-53.15,-70.9167,53.11,28.83
Tshikapa,77,CD,1644432366,80,-6.4167,20.8,75.63,1.36
Nikolskoye,100,RU,1644432367,93,59.7035,30.7861,35.71,8.61
Lauterbach,100,DE,1644432143,89,50.6333,9.4,46.8,4.12
Mataura,100,NZ,1644432367,99,-46.1927,168.8643,59.49,1.41
